start month,start day,start year,start hour,start minute,ampm,label
10,25,1963,5,31,PM,Sagittarius
12,5,1963,9,3,AM,Capricorn
1,13,1964,6,13,AM,Aquarius
2,20,1964,7,33,AM,Pisces
3,29,1964,11,24,AM,Aries
5,7,1964,2,41,PM,Taurus
6,17,1964,11,43,AM,Gemini
7,30,1964,6,23,PM,Cancer
9,15,1964,5,22,AM,Leo
11,6,1964,3,20,AM,Virgo
6,29,1965,1,12,AM,Libra
8,20,1965,12,16,PM,Scorpio
10,4,1965,6,46,AM,Sagittarius
11,14,1965,7,19,AM,Capricorn
12,23,1965,5,36,AM,Aquarius
1,30,1966,7,1,AM,Pisces
3,9,1966,12,55,PM,Aries
4,17,1966,8,35,PM,Taurus
5,28,1966,10,7,PM,Gemini
7,11,1966,3,15,AM,Cancer
8,25,1966,3,52,PM,Leo
10,12,1966,6,37,PM,Virgo
12,4,1966,12,55,AM,Libra
2,12,1967,12,20,PM,Scorpio
3,31,1967,6,10,AM,Libra
7,19,1967,10,56,PM,Scorpio
9,10,1967,1,44,AM,Sagittarius
10,23,1967,2,14,AM,Capricorn
12,1,1967,8,12,PM,Aquarius
1,9,1968,9,49,AM,Pisces
2,17,1968,3,18,AM,Aries
3,27,1968,11,43,PM,Taurus
5,8,1968,2,14,PM,Gemini
6,21,1968,5,3,AM,Cancer
8,5,1968,5,7,PM,Leo
9,21,1968,6,39,PM,Virgo
11,9,1968,6,10,AM,Libra
12,29,1968,10,7,PM,Scorpio
2,25,1969,6,21,AM,Sagittarius
9,21,1969,6,35,AM,Capricorn
11,4,1969,6,51,PM,Aquarius
12,15,1969,2,22,PM,Pisces
1,24,1970,9,29,PM,Aries
3,7,1970,1,28,AM,Taurus
4,18,1970,6,59,PM,Gemini
6,2,1970,6,51,AM,Cancer
7,18,1970,6,43,AM,Leo
9,3,1970,4,57,AM,Virgo
10,20,1970,10,57,AM,Libra
12,6,1970,4,34,PM,Scorpio
1,23,1971,1,34,AM,Sagittarius
3,12,1971,10,11,AM,Capricorn
5,3,1971,8,57,PM,Aquarius
11,6,1971,12,31,PM,Pisces
12,26,1971,6,4,PM,Aries
2,10,1972,2,4,PM,Taurus
3,27,1972,4,30,AM,Gemini
5,12,1972,1,14,PM,Cancer
6,28,1972,4,9,PM,Leo
8,15,1972,12,59,AM,Virgo
9,30,1972,11,23,PM,Libra
11,15,1972,10,17,PM,Scorpio
12,30,1972,4,12,PM,Sagittarius
2,12,1973,5,51,AM,Capricorn
3,26,1973,8,59,PM,Aquarius
5,8,1973,4,9,AM,Pisces
6,20,1973,8,54,PM,Aries
8,12,1973,2,56,PM,Taurus
10,29,1973,10,56,PM,Aries
12,24,1973,8,9,AM,Taurus
2,27,1974,10,11,AM,Gemini
4,20,1974,8,18,AM,Cancer
6,9,1974,12,54,AM,Leo
7,27,1974,2,4,PM,Virgo
9,12,1974,7,8,PM,Libra
10,28,1974,7,5,AM,Scorpio
12,10,1974,10,5,PM,Sagittarius
1,21,1975,6,49,PM,Capricorn
3,3,1975,5,32,AM,Aquarius
4,11,1975,7,15,PM,Pisces
5,21,1975,8,14,AM,Aries
7,1,1975,3,53,AM,Taurus
8,14,1975,8,47,PM,Gemini
10,17,1975,8,44,AM,Cancer
11,25,1975,6,30,PM,Gemini
3,18,1976,1,15,PM,Cancer
5,16,1976,11,10,AM,Leo
7,6,1976,11,27,PM,Virgo
8,24,1976,5,55,AM,Libra
10,8,1976,8,23,PM,Scorpio
11,20,1976,11,53,PM,Sagittarius
1,1,1977,12,42,AM,Capricorn
2,9,1977,11,57,AM,Aquarius
3,20,1977,2,19,AM,Pisces
4,27,1977,3,46,PM,Aries
6,6,1977,3,0,AM,Taurus
7,17,1977,3,13,PM,Gemini
9,1,1977,12,20,AM,Cancer
10,26,1977,6,56,PM,Leo
1,26,1978,1,59,AM,Cancer
4,10,1978,6,50,PM,Leo
6,14,1978,2,38,AM,Virgo
8,4,1978,9,7,AM,Libra
9,19,1978,8,57,PM,Scorpio
11,2,1978,1,20,AM,Sagittarius
12,12,1978,5,39,PM,Capricorn
1,20,1979,5,7,PM,Aquarius
2,27,1979,8,25,PM,Pisces
4,7,1979,1,8,AM,Aries
5,16,1979,4,25,AM,Taurus
6,26,1979,1,55,AM,Gemini
8,8,1979,1,28,PM,Cancer
9,24,1979,9,21,PM,Leo
11,19,1979,9,36,PM,Virgo
3,11,1980,8,46,PM,Leo
5,4,1980,2,27,AM,Virgo
7,10,1980,5,59,PM,Libra
8,29,1980,5,50,AM,Scorpio
10,12,1980,6,27,AM,Sagittarius
11,22,1980,1,42,AM,Capricorn
12,30,1980,10,30,PM,Aquarius
2,6,1981,10,48,PM,Pisces
3,17,1981,2,40,AM,Aries
4,25,1981,7,17,AM,Taurus
6,5,1981,5,26,AM,Gemini
7,18,1981,8,54,AM,Cancer
9,2,1981,1,52,AM,Leo
10,21,1981,1,56,AM,Virgo
12,16,1981,12,14,AM,Libra
8,3,1982,11,45,AM,Scorpio
9,20,1982,1,20,AM,Sagittarius
10,31,1982,11,5,PM,Capricorn
12,10,1982,6,17,AM,Aquarius
1,17,1983,1,10,PM,Pisces
2,25,1983,12,19,AM,Aries
4,5,1983,2,3,PM,Taurus
5,16,1983,9,43,PM,Gemini
6,29,1983,6,54,AM,Cancer
8,13,1983,4,54,PM,Leo
9,30,1983,12,12,AM,Virgo
11,18,1983,10,26,AM,Libra
1,11,1984,3,20,AM,Scorpio
8,17,1984,7,50,PM,Sagittarius
10,5,1984,6,2,AM,Capricorn
11,15,1984,6,9,PM,Aquarius
12,25,1984,6,38,AM,Pisces
2,2,1985,5,19,PM,Aries
3,15,1985,5,6,AM,Taurus
4,26,1985,9,13,AM,Gemini
6,9,1985,10,40,AM,Cancer
7,25,1985,4,4,AM,Leo
9,10,1985,1,31,AM,Virgo
10,27,1985,3,16,PM,Libra
12,14,1985,6,59,PM,Scorpio
