start month,start day,start year,start hour,start minute,ampm,label
1,5,1953,11,10,AM,Pisces
2,2,1953,5,54,AM,Aries
3,14,1953,6,58,PM,Taurus
3,31,1953,5,17,AM,Aries
6,5,1953,10,34,AM,Taurus
7,7,1953,10,30,AM,Gemini
8,4,1953,1,8,AM,Cancer
8,30,1953,1,35,AM,Leo
9,24,1953,3,48,AM,Virgo
10,18,1953,3,27,PM,Libra
11,11,1953,6,12,PM,Scorpio
12,5,1953,4,24,PM,Sagittarius
12,29,1953,12,53,PM,Capricorn
1,22,1954,9,20,AM,Aquarius
2,15,1954,7,1,AM,Pisces
3,11,1954,7,22,AM,Aries
4,4,1954,11,55,AM,Taurus
4,28,1954,10,3,PM,Gemini
5,23,1954,3,4,PM,Cancer
6,17,1954,5,4,PM,Leo
7,13,1954,8,43,AM,Virgo
8,9,1954,12,34,AM,Libra
9,6,1954,11,29,PM,Scorpio
10,24,1954,11,53,AM,Sagittarius
10,27,1954,10,42,AM,Scorpio
1,6,1955,6,48,AM,Sagittarius
2,6,1955,1,15,AM,Capricorn
3,4,1955,8,22,PM,Aquarius
3,30,1955,11,30,AM,Pisces
4,24,1955,3,13,PM,Aries
5,19,1955,1,35,PM,Taurus
6,13,1955,8,38,AM,Gemini
7,8,1955,12,15,AM,Cancer
8,1,1955,11,43,AM,Leo
8,25,1955,6,52,PM,Virgo
9,18,1955,10,41,PM,Libra
10,13,1955,12,39,AM,Scorpio
11,6,1955,2,2,AM,Sagittarius
11,30,1955,3,42,AM,Capricorn
12,24,1955,6,52,AM,Aquarius
1,17,1956,2,22,PM,Pisces
2,11,1956,7,46,AM,Aries
3,7,1956,9,31,PM,Taurus
4,4,1956,7,23,AM,Gemini
5,8,1956,2,17,AM,Cancer
6,23,1956,12,10,PM,Gemini
8,4,1956,9,49,AM,Cancer
9,8,1956,9,23,AM,Leo
10,6,1956,3,12,AM,Virgo
10,31,1956,7,40,PM,Libra
11,25,1956,1,1,PM,Scorpio
12,19,1956,7,7,PM,Sagittarius
1,12,1957,8,23,PM,Capricorn
2,5,1957,8,16,PM,Aquarius
3,1,1957,8,39,PM,Pisces
3,25,1957,10,46,PM,Aries
4,19,1957,3,28,AM,Taurus
5,13,1957,11,8,AM,Gemini
6,6,1957,9,35,PM,Cancer
7,1,1957,10,42,AM,Leo
7,26,1957,3,10,AM,Virgo
8,20,1957,12,44,AM,Libra
9,14,1957,6,20,AM,Scorpio
10,10,1957,1,16,AM,Sagittarius
11,5,1957,11,46,PM,Capricorn
12,6,1957,3,26,PM,Aquarius
4,6,1958,4,0,PM,Pisces
5,5,1958,11,59,AM,Aries
6,1,1958,4,7,AM,Taurus
6,26,1958,11,8,PM,Gemini
7,22,1958,5,26,AM,Cancer
8,16,1958,1,28,AM,Leo
9,9,1958,12,35,PM,Virgo
10,3,1958,4,44,PM,Libra
10,27,1958,4,26,PM,Scorpio
11,20,1958,1,59,PM,Sagittarius
12,14,1958,10,55,AM,Capricorn
1,7,1959,8,16,AM,Aquarius
1,31,1959,7,28,AM,Pisces
2,24,1959,10,53,AM,Aries
3,20,1959,9,55,PM,Taurus
4,14,1959,9,8,PM,Gemini
5,10,1959,3,45,PM,Cancer
6,6,1959,10,43,PM,Leo
7,8,1959,12,8,PM,Virgo
9,20,1959,6,59,AM,Leo
9,25,1959,8,15,AM,Virgo
11,9,1959,6,11,PM,Libra
12,7,1959,4,41,PM,Scorpio
1,2,1960,8,43,AM,Sagittarius
1,27,1960,4,46,AM,Capricorn
2,20,1960,4,47,PM,Aquarius
3,16,1960,1,53,AM,Pisces
4,9,1960,10,32,AM,Aries
5,3,1960,7,56,PM,Taurus
5,28,1960,6,11,AM,Gemini
6,21,1960,4,34,PM,Cancer
7,16,1960,2,11,AM,Leo
8,9,1960,10,54,AM,Virgo
9,2,1960,7,29,PM,Libra
9,27,1960,5,13,AM,Scorpio
10,21,1960,5,12,PM,Sagittarius
11,15,1960,8,57,AM,Capricorn
12,10,1960,8,34,AM,Aquarius
1,5,1961,3,31,AM,Pisces
2,2,1961,4,46,AM,Aries
6,5,1961,7,25,PM,Taurus
7,7,1961,4,32,AM,Gemini
8,3,1961,3,28,PM,Cancer
8,29,1961,2,18,PM,Leo
9,23,1961,3,43,PM,Virgo
10,18,1961,2,58,AM,Libra
11,11,1961,5,33,AM,Scorpio
12,5,1961,3,40,AM,Sagittarius
12,29,1961,12,7,AM,Capricorn
1,21,1962,8,31,PM,Aquarius
2,14,1962,6,9,PM,Pisces
3,10,1962,6,28,PM,Aries
4,3,1962,11,5,PM,Taurus
4,28,1962,9,23,AM,Gemini
5,23,1962,2,46,AM,Cancer
6,17,1962,5,31,AM,Leo
7,12,1962,10,32,PM,Virgo
8,8,1962,5,13,PM,Libra
9,7,1962,12,11,AM,Scorpio
1,6,1963,5,35,PM,Sagittarius
2,5,1963,8,36,PM,Capricorn
3,4,1963,11,41,AM,Aquarius
3,30,1963,1,0,AM,Pisces
4,24,1963,3,39,AM,Aries
5,19,1963,1,21,AM,Taurus
6,12,1963,7,57,PM,Gemini
7,7,1963,11,18,AM,Cancer
7,31,1963,10,38,PM,Leo
8,25,1963,5,49,AM,Virgo
9,18,1963,9,43,AM,Libra
10,12,1963,11,50,AM,Scorpio
11,5,1963,1,25,PM,Sagittarius
11,29,1963,3,21,PM,Capricorn
12,23,1963,6,53,PM,Aquarius
1,17,1964,2,54,AM,Pisces
2,10,1964,9,9,PM,Aries
3,7,1964,12,38,PM,Taurus
4,4,1964,3,3,AM,Gemini
5,9,1964,3,16,AM,Cancer
6,17,1964,6,17,PM,Gemini
8,5,1964,8,53,AM,Cancer
9,8,1964,4,53,AM,Leo
10,5,1964,6,10,PM,Virgo
10,31,1964,8,54,AM,Libra
11,25,1964,1,25,AM,Scorpio
12,19,1964,7,2,AM,Sagittarius
1,12,1965,8,0,AM,Capricorn
2,5,1965,7,41,AM,Aquarius
3,1,1965,7,55,AM,Pisces
3,25,1965,9,54,AM,Aries
4,18,1965,2,31,PM,Taurus
5,12,1965,10,8,PM,Gemini
6,6,1965,8,39,AM,Cancer
6,30,1965,9,59,PM,Leo
7,25,1965,2,51,PM,Virgo
8,19,1965,1,6,PM,Libra
9,13,1965,7,50,PM,Scorpio
10,9,1965,4,46,PM,Sagittarius
11,5,1965,7,36,PM,Capricorn
12,7,1965,4,37,AM,Aquarius
2,6,1966,12,46,PM,Capricorn
2,25,1966,10,55,AM,Aquarius
4,6,1966,3,53,PM,Pisces
5,5,1966,4,33,AM,Aries
5,31,1966,6,0,PM,Taurus
6,26,1966,11,40,AM,Gemini
7,21,1966,5,11,PM,Cancer
8,15,1966,12,47,PM,Leo
9,8,1966,11,40,PM,Virgo
10,3,1966,3,44,AM,Libra
10,27,1966,3,28,AM,Scorpio
11,20,1966,1,6,AM,Sagittarius
12,13,1966,10,9,PM,Capricorn
1,6,1967,7,36,PM,Aquarius
1,30,1967,6,53,PM,Pisces
2,23,1967,10,30,PM,Aries
3,20,1967,9,56,AM,Taurus
4,14,1967,9,54,AM,Gemini
5,10,1967,6,5,AM,Cancer
6,6,1967,4,48,PM,Leo
7,8,1967,10,11,PM,Virgo
9,9,1967,11,58,AM,Leo
10,1,1967,6,7,PM,Virgo
11,9,1967,4,32,PM,Libra
12,7,1967,8,48,AM,Scorpio
1,1,1968,10,37,PM,Sagittarius
1,26,1968,5,35,PM,Capricorn
2,20,1968,4,55,AM,Aquarius
3,15,1968,1,32,PM,Pisces
4,8,1968,9,48,PM,Aries
5,3,1968,6,56,AM,Taurus
5,27,1968,5,2,PM,Gemini
6,21,1968,3,20,AM,Cancer
7,15,1968,12,59,PM,Leo
8,8,1968,9,49,PM,Virgo
9,2,1968,6,39,AM,Libra
9,26,1968,4,45,PM,Scorpio
10,21,1968,5,16,AM,Sagittarius
11,14,1968,9,48,PM,Capricorn
12,9,1968,10,40,PM,Aquarius
1,4,1969,8,7,PM,Pisces
2,2,1969,4,45,AM,Aries
6,6,1969,1,48,AM,Taurus
7,6,1969,10,4,PM,Gemini
8,3,1969,5,30,AM,Cancer
8,29,1969,2,48,AM,Leo
9,23,1969,3,26,AM,Virgo
10,17,1969,2,17,PM,Libra
11,10,1969,4,40,PM,Scorpio
12,4,1969,2,41,PM,Sagittarius
12,28,1969,11,4,AM,Capricorn
1,21,1970,7,26,AM,Aquarius
2,14,1970,5,4,AM,Pisces
3,10,1970,5,25,AM,Aries
4,3,1970,10,5,AM,Taurus
4,27,1970,8,33,PM,Gemini
5,22,1970,2,19,PM,Cancer
6,16,1970,5,49,PM,Leo
7,12,1970,12,16,PM,Virgo
8,8,1970,9,59,AM,Libra
9,7,1970,1,54,AM,Scorpio
1,7,1971,1,0,AM,Sagittarius
2,5,1971,2,57,PM,Capricorn
3,4,1971,2,24,AM,Aquarius
3,29,1971,2,2,PM,Pisces
4,23,1971,3,44,PM,Aries
5,18,1971,12,48,PM,Taurus
6,12,1971,6,58,AM,Gemini
7,6,1971,10,2,PM,Cancer
7,31,1971,9,15,AM,Leo
8,24,1971,4,25,PM,Virgo
9,17,1971,8,25,PM,Libra
10,11,1971,10,43,PM,Scorpio
11,5,1971,12,30,AM,Sagittarius
11,29,1971,2,41,AM,Capricorn
12,23,1971,6,32,AM,Aquarius
1,16,1972,3,1,PM,Pisces
2,10,1972,10,8,AM,Aries
3,7,1972,3,25,AM,Taurus
4,3,1972,10,48,PM,Gemini
5,10,1972,1,51,PM,Cancer
6,11,1972,8,8,PM,Gemini
8,6,1972,1,26,AM,Cancer
9,7,1972,11,27,PM,Leo
10,5,1972,8,33,AM,Virgo
10,30,1972,9,40,PM,Libra
11,24,1972,1,23,PM,Scorpio
12,18,1972,6,34,PM,Sagittarius
1,11,1973,7,15,PM,Capricorn
2,4,1973,6,43,PM,Aquarius
2,28,1973,6,45,PM,Pisces
3,24,1973,8,34,PM,Aries
4,18,1973,1,5,AM,Taurus
5,12,1973,8,42,AM,Gemini
6,5,1973,7,20,PM,Cancer
6,30,1973,8,55,AM,Leo
7,25,1973,2,13,AM,Virgo
8,19,1973,1,10,AM,Libra
9,13,1973,9,5,AM,Scorpio
